"DateTime";"AC Wirkleistung [kW]";"AC Energie (Eout) [kWh]"
"2023-07-10 04:25:00";0;0
"2023-07-10 04:30:00";0;0
"2023-07-10 04:35:00";0;0
"2023-07-10 04:40:00";0;0
"2023-07-10 04:45:00";0;0
"2023-07-10 04:50:00";0;0
"2023-07-10 04:55:00";0,01;0
"2023-07-10 05:00:00";0,08;0,01
"2023-07-10 05:05:00";0,26;0,03
"2023-07-10 05:10:00";0,69;0,09
"2023-07-10 05:15:00";1,32;0,19
"2023-07-10 05:20:00";2,03;0,37
"2023-07-10 05:25:00";2,59;0,58
"2023-07-10 05:30:00";3,02;0,83
"2023-07-10 05:35:00";3,31;1,11
"2023-07-10 05:40:00";3,49;1,39
"2023-07-10 05:45:00";3,65;1,7
"2023-07-10 05:50:00";3,95;2,03
"2023-07-10 05:55:00";4,12;2,38
"2023-07-10 06:00:00";3,69;2,69
"2023-07-10 06:05:00";2,85;2,93
"2023-07-10 06:10:00";2,72;3,15
"2023-07-10 06:15:00";3,26;3,42
"2023-07-10 06:20:00";4,47;3,79
"2023-07-10 06:25:00";7,33;4,4
"2023-07-10 06:30:00";9,7;5,21
"2023-07-10 06:35:00";9,97;6,04
"2023-07-10 06:40:00";11,93;7,04
"2023-07-10 06:45:00";14,08;8,22
"2023-07-10 06:50:00";16,89;9,62
"2023-07-10 06:55:00";21,46;11,42
"2023-07-10 07:00:00";23,84;13,4
"2023-07-10 07:05:00";13,17;14,49
"2023-07-10 07:10:00";10,79;15,39
"2023-07-10 07:15:00";8,22;16,08
"2023-07-10 07:20:00";3,95;16,41
"2023-07-10 07:25:00";1,9;16,56
"2023-07-10 07:30:00";1,9;16,72
"2023-07-10 07:35:00";2,09;16,9
"2023-07-10 07:40:00";2,56;17,11
"2023-07-10 07:45:00";2,24;17,29
"2023-07-10 07:50:00";2,46;17,5
"2023-07-10 07:55:00";2,75;17,74
"2023-07-10 08:00:00";1,89;17,89
"2023-07-10 08:05:00";1,44;18,01
"2023-07-10 08:10:00";1,7;18,15
"2023-07-10 08:15:00";2,5;18,36
"2023-07-10 08:20:00";5,02;18,78
"2023-07-10 08:25:00";8,64;19,5
"2023-07-10 08:30:00";13,33;20,61
"2023-07-10 08:35:00";17,68;22,08
"2023-07-10 08:40:00";20,96;23,82
"2023-07-10 08:45:00";23,73;25,81
"2023-07-10 08:50:00";26,17;27,99
"2023-07-10 08:55:00";29,13;30,43
"2023-07-10 09:00:00";33,07;33,18
"2023-07-10 09:05:00";39,44;36,45
"2023-07-10 09:10:00";49,24;40,56
"2023-07-10 09:15:00";49,12;44,67
"2023-07-10 09:20:00";32,32;47,36
"2023-07-10 09:25:00";35,91;50,35
"2023-07-10 09:30:00";34,59;53,24
"2023-07-10 09:35:00";29,02;55,67
"2023-07-10 09:40:00";47,37;59,63
"2023-07-10 09:45:00";81,89;66,43
"2023-07-10 09:50:00";84,14;73,44
"2023-07-10 09:55:00";84,72;80,52
"2023-07-10 10:00:00";84,79;87,57
"2023-07-10 10:05:00";85,28;94,68
"2023-07-10 10:10:00";86,62;101,91
"2023-07-10 10:15:00";83,54;108,88
"2023-07-10 10:20:00";82,23;115,75
"2023-07-10 10:25:00";82,57;122,63
"2023-07-10 10:30:00";84,01;129,6
"2023-07-10 10:35:00";83,65;136,59
"2023-07-10 10:40:00";87,01;143,84
"2023-07-10 10:45:00";85,33;150,95
"2023-07-10 10:50:00";87,94;158,29
"2023-07-10 10:55:00";87,41;165,57
"2023-07-10 11:00:00";69,23;171,35
"2023-07-10 11:05:00";87,25;178,64
"2023-07-10 11:10:00";88,65;186,03
"2023-07-10 11:15:00";86,66;193,22
"2023-07-10 11:20:00";87,83;200,54
"2023-07-10 11:25:00";82,69;207,45
"2023-07-10 11:30:00";85,2;214,56
"2023-07-10 11:35:00";91,58;222,2
"2023-07-10 11:40:00";92,1;229,85
"2023-07-10 11:45:00";101,66;238,38
"2023-07-10 11:50:00";101,31;246,79
"2023-07-10 11:55:00";93,85;254,62
"2023-07-10 12:00:00";99,65;262,92
"2023-07-10 12:05:00";100,47;271,29
"2023-07-10 12:10:00";99,31;279,58
"2023-07-10 12:15:00";97,03;287,68
"2023-07-10 12:20:00";98,39;295,87
"2023-07-10 12:25:00";91;303,49
"2023-07-10 12:30:00";77,96;309,96
"2023-07-10 12:35:00";77,69;316,46
"2023-07-10 12:40:00";91,3;324,05
"2023-07-10 12:45:00";100,3;332,41
"2023-07-10 12:50:00";100,18;340,78
"2023-07-10 12:55:00";100,11;349,11
"2023-07-10 13:00:00";100,13;357,46
"2023-07-10 13:05:00";99,36;365,76
"2023-07-10 13:10:00";99,89;374,09
"2023-07-10 13:15:00";102,09;382,56
"2023-07-10 13:20:00";103,05;391,17
"2023-07-10 13:25:00";87,58;398,46
"2023-07-10 13:30:00";78,8;405,04
"2023-07-10 13:35:00";95,83;413,04
"2023-07-10 13:40:00";101,69;421,5
"2023-07-10 13:45:00";45,72;425,32
"2023-07-10 13:50:00";32,07;427,99
"2023-07-10 13:55:00";30,21;430,52
"2023-07-10 14:00:00";44,87;434,28
"2023-07-10 14:05:00";88,34;441,65
"2023-07-10 14:10:00";109,16;450,72
"2023-07-10 14:15:00";96,25;458,74
"2023-07-10 14:20:00";105,51;467,54
"2023-07-10 14:25:00";103,38;476,17
"2023-07-10 14:30:00";101,62;484,65
"2023-07-10 14:35:00";100,61;493,03
